ID;Size;Model;y_obs;y_hat;Res
3;0.1955;1;0.01;0.104696827;-0.094696827
3;0.17;1;0.01;0.085736542;-0.075736542
3;0.148;1;0.01;0.070325627;-0.060325627
3;0.129;1;0.01;0.057781123;-0.047781123
3;0.1125;1;0.01;0.047509936;-0.037509936
3;0.098;1;0.01;0.03900095;-0.02900095
3;0.085;1;0.01;0.031817727;-0.021817727
3;0.074;1;0.01;0.026096044;-0.016096044
3;0.0645;1;0.01;0.021439406;-0.011439406
3;0.056;1;0.01;0.017515222;-0.007515222
3;0.049;1;0.01;0.014469404;-0.004469404
3;0.043;1;0.01;0.012003066;-0.002003066
3;0.0375;1;0.01;0.009868594;0.000131406
3;0.0325;1;0.01;0.008041525;0.001958475
3;0.028;1;0.01;0.006497292;0.003502708
3;0.0245;1;0.01;0.005367339;0.004632661
3;0.0215;1;0.01;0.004452397;0.005547603
3;0.0185;1;0.01;0.003590957;0.006409043
3;0.016;1;0.01;0.002917394;0.007082606
3;0.014;1;0.01;0.002410011;0.007589989
3;0.012;1;0.01;0.001932991;0.008067009
3;0.0105;1;0.01;0.001596809;0.008403191
4;170.2295;1;100;94.40202288;5.597977116
4;148.2635;1;99.69;93.26090275;6.429097253
4;129.132;1;98.78;91.90711721;6.872882791
4;112.4695;1;97.38;90.30967014;7.070329859
4;97.957;1;95.31;88.43657075;6.873429251
4;85.317;1;92.55;86.25648462;6.293515376
4;74.308;1;89.1;83.74094162;5.359058381
4;64.7195;1;85.02;80.8670756;4.152924396
4;56.3685;1;80.41;77.62109014;2.788909862
4;49.095;1;75.41;74.00142191;1.408578086
4;42.76;1;70.17;70.02237525;0.147624753
4;37.2425;1;64.85;65.71652574;-0.866525745
4;32.437;1;59.58;61.13553125;-1.555531254
4;28.2515;1;54.48;56.34892412;-1.868924123
4;24.606;1;49.63;51.44093311;-1.810933114
4;21.431;1;45.07;46.50514939;-1.435149393
4;18.6655;1;40.82;41.63653874;-0.816538736
4;16.257;1;36.88;36.9260715;-0.046071495
4;14.1595;1;33.23;32.4526831;0.777316901
4;12.3325;1;29.86;28.27796862;1.582031382
4;10.741;1;26.75;24.445347;2.304653004
4;9.355;1;23.89;20.98052458;2.90947542
4;8.148;1;21.26;17.89090608;3.369093922
4;7.0965;1;18.84;15.1683332;3.671666797
4;6.1805;1;16.62;12.79500047;3.824999525
4;5.383;1;14.58;10.74664947;3.833350525
4;4.6885;1;12.71;8.992640898;3.717359102
4;4.0835;1;10.98;7.500603761;3.479396239
4;3.5565;1;9.38;6.238988639;3.141011361
4;3.0975;1;7.89;5.177672802;2.712327198
4;2.698;1;6.51;4.289209467;2.220790533
4;2.35;1;5.23;3.54744527;1.68255473
4;2.0465;1;4.06;2.929264127;1.130735873
4;1.7825;1;3.01;2.416683475;0.593316525
4;1.5525;1;2.1;1.99185564;0.10814436
4;1.352;1;1.34;1.640149764;-0.300149764
4;1.1775;1;0.75;1.349861792;-0.599861792
4;1.0255;1;0.33;1.110337237;-0.780337237
4;0.8935;1;0.1;0.913470468;-0.813470468
4;0.778;1;0.02;0.750571294;-0.730571294
4;0.6775;1;0.02;0.616631342;-0.596631342
4;0.5905;1;0.02;0.507103859;-0.487103859
4;0.5145;1;0.02;0.4167508;-0.3967508
4;0.448;1;0.02;0.342134319;-0.322134319
4;0.39;1;0.02;0.280741926;-0.260741926
4;0.3395;1;0.02;0.23033164;-0.21033164
4;0.2955;1;0.02;0.188920217;-0.168920217
4;0.2575;1;0.02;0.155198707;-0.135198707
4;0.2245;1;0.02;0.127580721;-0.107580721
4;0.1955;1;0.02;0.104696827;-0.084696827
4;0.17;1;0.02;0.085736542;-0.065736542
4;0.148;1;0.02;0.070325627;-0.050325627
4;0.129;1;0.02;0.057781123;-0.037781123
4;0.1125;1;0.02;0.047509936;-0.027509936
4;0.098;1;0.02;0.03900095;-0.01900095
4;0.085;1;0.02;0.031817727;-0.011817727
4;0.074;1;0.02;0.026096044;-0.006096044
4;0.0645;1;0.02;0.021439406;-0.001439406
4;0.056;1;0.02;0.017515222;0.002484778
4;0.049;1;0.02;0.014469404;0.005530596
4;0.043;1;0.02;0.012003066;0.007996934
4;0.0375;1;0.02;0.009868594;0.010131406
4;0.0325;1;0.02;0.008041525;0.011958475
4;0.028;1;0.02;0.006497292;0.013502708
